dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,dteday_num,Cluster,time_category
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.81,0.0,3,13,16,0,0,Malam
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.8,0.0,8,32,40,0,0,Malam
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.8,0.0,5,27,32,0,0,Malam
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.75,0.0,3,10,13,0,0,Malam
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.75,0.0,0,1,1,0,0,Malam
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0,1,1,0,0,Malam
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.8,0.0,2,0,2,0,0,Pagi
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.86,0.0,1,2,3,0,0,Pagi
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.75,0.0,1,7,8,0,0,Pagi
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.76,0.0,8,6,14,0,0,Pagi
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.76,0.2537,12,24,36,0,0,Pagi
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.81,0.2836,26,30,56,0,0,Pagi
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.77,0.2836,29,55,84,0,0,Siang
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.72,0.2985,47,47,94,0,0,Siang
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.72,0.2836,35,71,106,0,0,Siang
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.77,0.2985,40,70,110,0,0,Siang
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.82,0.2985,41,52,93,0,0,Siang
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.82,0.2836,15,52,67,0,0,Siang
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.88,0.2537,9,26,35,0,0,Sore
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.88,0.2537,6,31,37,0,0,Sore
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.87,0.2537,11,25,36,0,0,Sore
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.87,0.194,3,31,34,0,0,Sore
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.94,0.2239,11,17,28,0,0,Sore
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.88,0.2985,15,24,39,0,1,Sore
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.88,0.2985,4,13,17,1,0,Malam
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.94,0.2537,1,16,17,1,0,Malam
2011-01-02,1,0,1,2,0,0,0,2,0.42,1.0,0.2836,1,8,9,1,0,Malam
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.94,0.194,2,4,6,1,0,Malam
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.94,0.194,2,1,3,1,0,Malam
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.77,0.2985,0,2,2,1,0,Pagi
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.76,0.194,0,1,1,1,0,Pagi
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.71,0.2239,0,8,8,1,0,Pagi
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.76,0.2239,1,19,20,1,0,Pagi
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.81,0.2239,7,46,53,1,0,Pagi
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.71,0.2537,16,54,70,1,0,Pagi
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.66,0.2985,20,73,93,1,0,Siang
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.66,0.1343,11,64,75,1,0,Siang
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.76,0.194,4,55,59,1,0,Siang
2011-01-02,1,0,1,15,0,0,0,3,0.34,0.81,0.1642,19,55,74,1,0,Siang
2011-01-02,1,0,1,16,0,0,0,3,0.34,0.71,0.1642,9,67,76,1,0,Siang
2011-01-02,1,0,1,17,0,0,0,1,0.34,0.57,0.194,7,58,65,1,0,Siang
2011-01-02,1,0,1,18,0,0,0,2,0.36,0.46,0.3284,10,43,53,1,0,Sore
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.42,0.4478,1,29,30,1,0,Sore
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.39,0.3582,5,17,22,1,0,Sore
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.44,0.3284,11,20,31,1,0,Sore
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.44,0.2985,0,9,9,1,0,Sore
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.47,0.1642,0,8,8,1,0,Sore
2011-01-03,1,0,1,0,0,1,1,1,0.22,0.44,0.3582,0,5,5,2,0,Malam
2011-01-03,1,0,1,1,0,1,1,1,0.2,0.44,0.4179,0,2,2,2,0,Malam
2011-01-03,1,0,1,4,0,1,1,1,0.16,0.47,0.3881,0,1,1,2,0,Malam
2011-01-03,1,0,1,5,0,1,1,1,0.16,0.47,0.2836,0,3,3,2,0,Malam
2011-01-03,1,0,1,6,0,1,1,1,0.14,0.5,0.3881,0,30,30,2,0,Pagi
2011-01-03,1,0,1,7,0,1,1,1,0.14,0.5,0.194,1,63,64,2,0,Pagi
2011-01-03,1,0,1,8,0,1,1,1,0.14,0.5,0.2836,1,153,154,2,0,Pagi
2011-01-03,1,0,1,9,0,1,1,1,0.16,0.43,0.3881,7,81,88,2,0,Pagi
2011-01-03,1,0,1,10,0,1,1,1,0.18,0.43,0.2537,11,33,44,2,0,Pagi
2011-01-03,1,0,1,11,0,1,1,1,0.2,0.4,0.3284,10,41,51,2,0,Pagi
2011-01-03,1,0,1,12,0,1,1,1,0.22,0.35,0.2985,13,48,61,2,0,Siang
2011-01-03,1,0,1,13,0,1,1,1,0.24,0.35,0.2836,8,53,61,2,0,Siang
2011-01-03,1,0,1,14,0,1,1,1,0.26,0.3,0.2836,11,66,77,2,0,Siang
2011-01-03,1,0,1,15,0,1,1,1,0.26,0.3,0.2537,14,58,72,2,0,Siang
2011-01-03,1,0,1,16,0,1,1,1,0.26,0.3,0.2537,9,67,76,2,0,Siang
2011-01-03,1,0,1,17,0,1,1,1,0.24,0.3,0.2239,11,146,157,2,0,Siang
2011-01-03,1,0,1,18,0,1,1,1,0.24,0.32,0.1045,9,148,157,2,0,Sore
2011-01-03,1,0,1,19,0,1,1,1,0.2,0.47,0.0,8,102,110,2,0,Sore
2011-01-03,1,0,1,20,0,1,1,1,0.2,0.47,0.1045,3,49,52,2,0,Sore
2011-01-03,1,0,1,21,0,1,1,1,0.18,0.64,0.1343,3,49,52,2,0,Sore
2011-01-03,1,0,1,22,0,1,1,1,0.14,0.69,0.1343,0,20,20,2,0,Sore
2011-01-03,1,0,1,23,0,1,1,1,0.18,0.55,0.1045,1,11,12,2,0,Sore
2011-01-04,1,0,1,0,0,2,1,1,0.16,0.55,0.1045,0,5,5,3,0,Malam
2011-01-04,1,0,1,1,0,2,1,1,0.16,0.59,0.1045,0,2,2,3,0,Malam
2011-01-04,1,0,1,2,0,2,1,1,0.14,0.63,0.1343,0,1,1,3,0,Malam
2011-01-04,1,0,1,4,0,2,1,1,0.14,0.63,0.0896,0,2,2,3,0,Malam
2011-01-04,1,0,1,5,0,2,1,1,0.12,0.68,0.1045,0,4,4,3,0,Malam
2011-01-04,1,0,1,6,0,2,1,1,0.12,0.74,0.1045,0,36,36,3,0,Pagi
2011-01-04,1,0,1,7,0,2,1,1,0.12,0.74,0.1343,2,92,94,3,0,Pagi
2011-01-04,1,0,1,8,0,2,1,1,0.14,0.69,0.1642,2,177,179,3,0,Pagi
2011-01-04,1,0,1,9,0,2,1,1,0.16,0.64,0.2239,2,98,100,3,0,Pagi
2011-01-04,1,0,1,10,0,2,1,2,0.16,0.69,0.3284,5,37,42,3,0,Pagi
2011-01-04,1,0,1,11,0,2,1,1,0.22,0.51,0.2985,7,50,57,3,0,Pagi
2011-01-04,1,0,1,12,0,2,1,1,0.22,0.51,0.1642,12,66,78,3,0,Siang
2011-01-04,1,0,1,13,0,2,1,1,0.24,0.56,0.194,18,79,97,3,0,Siang
2011-01-04,1,0,1,14,0,2,1,1,0.26,0.52,0.2239,9,54,63,3,0,Siang
2011-01-04,1,0,1,15,0,2,1,1,0.28,0.52,0.2537,17,48,65,3,0,Siang
